title,type,location,bedrooms,bathrooms,price_qar,area_sqm,district,city,segment,type_encoded,cluster
PREMIUM 1-BR| NO COMM|BILLS DONE|BALCONY |SEA VIEW,Apartment,"Abraj Bay, Abraj Quartiers, The Pearl Island, Doha",1.0,1.0,9750,100.0,The Pearl Island,Doha,Budget,0,0
DIRECT SEA VIEW 5 BRS VILLA + MAID BEACH ACCESS,Villa,"West Bay Lagoon Villas, West Bay Lagoon, West Bay Lagoon, Doha",5.0,7.0,24000,460.0,West Bay Lagoon,Doha,Luxury,1,1
MARINA VIEW/SPACIOUS AND FULLY FURNISHED 2 BHK,Apartment,"East Porto Drive, Porto Arabia, The Pearl Island, Doha",2.0,3.0,11000,220.0,The Pearl Island,Doha,Budget,0,0
Crystal Residence 1BHK Sea View Semi Furnished,Apartment,"Crystal Residence, Gewan Island, The Pearl Island, Doha",1.0,2.0,8500,90.0,The Pearl Island,Doha,Budget,0,0
2 Bedrooms With Balcony. Marina View,Apartment,"West Porto Drive, Porto Arabia, The Pearl Island, Doha",2.0,3.0,9500,173.0,The Pearl Island,Doha,Budget,0,0
All Bills Included | 3 + Maids room Apartment,Apartment,"Giardino Apartments, The Pearl Island, Doha",3.0,3.0,13500,200.0,The Pearl Island,Doha,Budget,0,0
All Bills Included | Fully Furnished 1BR Apartment,Apartment,"Giardino Apartments, The Pearl Island, Doha",1.0,2.0,7000,80.0,The Pearl Island,Doha,Budget,0,0
Luxury Furnished 3BR + Maid | West Bay | For Rent,Apartment,"West Bay Tower, West Bay, West Bay, Doha",3.0,4.0,14000,130.0,West Bay,Doha,Budget,0,0
NO COMM | BILLS FREE FOR 1 BDR | 1 MONTH FREE,Apartment,"Lusail Marina Heights, Marina District, Lusail",1.0,2.0,7338,87.0,Marina District,Lusail,Budget,0,0
FREE MONTH! HUGE 1 BEDROOM | BRAND NEW+WIFI,Apartment,"La Plage South, La Plage, The Pearl Island, Doha",1.0,2.0,8769,145.0,The Pearl Island,Doha,Budget,0,0
FREE MONTH! HUGE 1 BED | BALCONY | BRAND NEW+WIFI,Apartment,"La Plage South, La Plage, The Pearl Island, Doha",1.0,2.0,8308,145.0,The Pearl Island,Doha,Budget,0,0
3+MAID | SEA VIEW | 3 BIG BALCONY | BILLS DONE,Apartment,"Floresta Gardens, Floresta Gardens, The Pearl Island, Doha",3.0,5.0,13804,185.0,The Pearl Island,Doha,Luxury,0,1
Hot Offer ! Fully Furnished 2+ Maid | BILLS DONE,Apartment,"Floresta Gardens, Floresta Gardens, The Pearl Island, Doha",2.0,4.0,9560,140.0,The Pearl Island,Doha,Budget,0,0
Month Free | 3-BDR Villa | Maid’s Room,Compound,"Al Waab Street, Al Waab, Doha",3.0,3.0,16850,300.0,Al Waab,Doha,Luxury,2,1
